"last_name","count"
"Lorcy","206"
"Smeets","196"
"Raoux","182"
"Belinskaya","206"
"Bashian","203"
"Gecseg","199"
"Hennings","187"
"Bazzichi","202"
"Poupard","219"
"Petersohn","214"
"Tsukuda","208"
"Bala","209"
"Mitsuhashi","181"
"Imataki","223"
"Hedayat","203"
"Erbe","202"
"Ginesta","179"
"Lieberherr","198"
"Sherertz","188"
"Kusalik","201"
"Gini","196"
"Heering","203"
"Tanemo","201"
"Erez","215"
"Miculan","170"
"Foong","202"
"Gluchowski","207"
"Pehl","208"
"Kenevan","189"
"Hockney","197"
"Pargas","211"
"Babu","203"
"Schwartzburd","203"
"Luff","201"
"Koprowski","174"
"Cooley","192"
"Usdin","176"
"Cullers","195"
"Bernardinello","175"
"Oxman","200"
"Matzen","216"
"Savasere","204"
"Kolinko","199"
"Perri","197"
"Erev","181"
"Erdi","222"
"Juneja","217"
"Ghalwash","197"
"Luca","215"
"Provine","165"
"Farrar","215"
"Hofmeyr","201"
"Cheshire","202"
"Samarati","201"
"Nitto","185"
"Veevers","205"
"Syang","219"
"Thorelli","165"
"Panienski","229"
"Ferriere","183"
"Luan","205"
"McConalogue","219"
"Narahari","190"
"Perna","189"
"Stanger","218"
"Raczkowsky","199"
"Denti","203"
"Dulay","206"
"Serra","233"
"Schieder","198"
"Sidhu","195"
"McFarlin","211"
"Alameldin","225"
"Plump","205"
"Honiden","193"
"Delgrande","205"
"Fiutem","189"
"Litvinov","209"
"Feinberg","227"
"Kobara","211"
"Valtorta","209"
"Schnelling","180"
"Levergood","176"
"Picel","209"
"Lakshmanan","194"
"Veeraraghavan","205"
"Dulli","163"
"Worfolk","205"
"Auria","203"
"Marciano","180"
"Birdsall","206"
"Garnham","231"
"Poehlman","206"
"Collavizza","185"
"Karunanithi","211"
"Schreiter","215"
"Janetzko","189"
"Demeyer","183"
"Linares","216"
"DuBourdieux","197"
"Famili","206"
"Stenning","202"
"Denis","182"
"Lorys","206"
"Oberman","211"
"Furedi","206"
"Rossi","196"
"Brodal","209"
"Heusch","201"
"Brickell","203"
"Leonhardt","184"
"Sigstam","204"
"Gips","190"
"Braccini","216"
"Serdy","185"
"Colorni","213"
"Steenbeek","213"
"Merel","212"
"Doering","226"
"Couchot","184"
"Malabarba","232"
"Cincotta","203"
"Uehara","208"
"Azuma","190"
"Baby","225"
"Etalle","196"
"Suwa","178"
"Wrigley","219"
"Shackell","192"
"Driscoll","229"
"Pouyioutas","197"
"Apsitis","219"
"Sewelson","198"
"Sambasivam","200"
"Crelier","208"
"Aingworth","189"
"Veldwijk","190"
"Pero","181"
"Spell","190"
"Ranst","171"
"Servieres","218"
"Brlek","198"
"Syrzycki","194"
"Snedden","222"
"Mersereau","189"
"Baaleh","182"
"Rissland","206"
"Pelc","231"
"Moehrke","180"
"Ullian","196"
"Slobodova","214"
"Munawer","208"
"Khamsi","219"
"Selvestrel","215"
"Pearson","169"
"Ventosa","236"
"Shrader","230"
"Perly","208"
"Kopetz","182"
"Ranon","200"
"Burnard","189"
"Hambrick","203"
"Itzfeldt","208"
"Back","200"
"Uhrik","202"
"Gewali","228"
"Barvinok","204"
"Curless","219"
"Guting","215"
"Beutelspacher","212"
"Farrag","204"
"Baaz","214"
"Zockler","194"
"Lamba","229"
"Flowers","229"
"Spelt","218"
"Peral","189"
"Katalagarianos","204"
"Wiegley","179"
"Kampfer","215"
"Cyre","198"
"Barbanera","211"
"Vrecion","190"
"Kalorkoti","226"
"Marletta","187"
"Hegner","176"
"Schahn","191"
"Valette","210"
"Barriga","232"
"Bennis","192"
"Quaggetto","194"
"Werthner","197"
"Vasanthakumar","204"
"Eiron","214"
"Masaki","202"
"Nivat","178"
"Hasenauer","190"
"Murtafg","189"
"Paciorek","205"
"Peir","205"
"Bach","202"
"Azevdeo","190"
"Beetstra","227"
"Rusmann","190"
"Tsukune","199"
"Karnin","220"
"Falby","199"
"Perl","204"
"Bolotov","208"
"Puppe","199"
"Zyda","195"
"Skogmar","183"
"Hertweck","217"
"Baig","180"
"Baezner","208"
"Auyong","221"
"Eldridge","197"
"Biros","188"
"Fontan","224"
"Wilfing","197"
"Codenie","204"
"Speek","225"
"Emmart","232"
"Gente","240"
"Genther","227"
"Fandrianto","194"
"Tzvieli","190"
"Rouquie","226"
"Cyne","204"
"Schrooten","189"
"Marchegay","196"
"Bage","185"
"Quadeer","218"
"Marrakchi","216"
"Polupanov","184"
"Gecsel","191"
"Papastamatiou","196"
"Kroon","176"
"Kusakabe","214"
"Kugler","195"
"Pettis","240"
"Alencar","191"
"Fujisawa","206"
"Ambroszkiewicz","191"
"Bellmore","205"
"Speckmann","221"
"Shokrollahi","198"
"Grospietsch","220"
"Wolniewicz","237"
"Binkley","192"
"Stifter","235"
"Maraist","221"
"Nollmann","167"
"Shobatake","197"
"Cannane","194"
"Holburn","203"
"Albarhamtoshy","218"
"Basagni","208"
"Undy","196"
"Magliocco","201"
"Whittlesey","194"
"Erman","184"
"Larfeldt","208"
"Cannata","194"
"Crabtree","203"
"Guenter","205"
"Mellouli","215"
"Lichtner","205"
"Lipner","196"
"Theuretzbacher","182"
"Shimshoni","233"
"Kalsbeek","194"
"Legleitner","224"
"Aloia","226"
"Piveteau","224"
"Schach","210"
"Besancenot","203"
"Zastre","178"
"Deville","216"
"Schmezko","175"
"Lunt","231"
"Suermann","204"
"Antonakopoulos","214"
"Kaiser","203"
"Heinisuo","192"
"Rodiger","198"
"Vitiello","195"
"Pellegrinelli","168"
"Wursthorn","215"
"Georgatos","161"
"Thombley","192"
"Baik","174"
"Hutter","194"
"Swab","182"
"Lammel","197"
"Pileggi","185"
"Wroclawski","222"
"Serot","190"
"Molenkamp","217"
"Trogemann","201"
"Bierman","211"
"Srimani","215"
"Berstel","199"
"Reistad","197"
"Ferretti","206"
"Iivonen","213"
"Steinauer","198"
"Jeansoulin","201"
"Cappelletti","194"
"Krohm","206"
"Halevi","189"
"Whitcomb","222"
"Boguraev","234"
"Bahr","215"
"Simkin","222"
"Improta","200"
"Hammerschmidt","216"
"Tchuente","203"
"Yetim","182"
"Rosen","201"
"Birta","214"
"Rosch","222"
"Rabejac","190"
"Ressouche","206"
"Dusink","208"
"Kulisch","235"
"Rosay","201"
"Tetzlaff","225"
"Luon","194"
"Conti","213"
"Mondadori","200"
"Ruther","200"
"Nanard","213"
"Llado","227"
"Stamatiou","211"
"Biran","225"
"Chartres","197"
"Anandan","212"
"Baumann","167"
"Azulay","195"
"Encarnacion","222"
"Oaver","183"
"Showalter","191"
"Ramsak","182"
"Matzov","226"
"Ossenbruggen","199"
"Hagimont","183"
"Munke","210"
"Xiaoshan","210"
"Ozery","174"
"Schaft","201"
"Keirsey","187"
"Rosar","165"
"Ozeri","203"
"Yurek","221"
"Murillo","204"
"Setlzner","194"
"Dredge","217"
"Menyhert","201"
"Huxford","204"
"Ladret","195"
"Gaughan","229"
"Janocha","182"
"Clemencon","187"
"Swiler","180"
"McClure","192"
"Spataro","205"
"Parveen","214"
"Harbusch","198"
"Nyanchama","200"
"Krogh","205"
"Lenart","200"
"Navazio","196"
"Lambe","187"
"Gilg","199"
"Koshiba","203"
"Schapire","224"
"Mikschl","218"
"Schwartzbauer","168"
"Buchter","201"
"Lampe","190"
"Vadhan","179"
"Jeong","190"
"Badache","188"
"Gustavson","223"
"Lally","210"
"Papsdorf","216"
"Openshaw","205"
"Thebaut","215"
"Boreale","206"
"Petereit","203"
"Pettey","192"
"Kriebel","213"
"Pargaonkar","183"
"Kropp","207"
"Avouris","216"
"Caine","198"
"Picaronny","198"
"Reeken","209"
"Cherinka","215"
"Tiemann","218"
"Markovitch","199"
"Vesna","193"
"Schueller","184"
"Comellas","203"
"Morrow","224"
"Schaad","211"
"Brobst","212"
"Waleschkowski","185"
"Cappelli","207"
"Borovoy","206"
"Schlenzig","194"
"Kumaresan","217"
"Lanteri","189"
"Zschoche","183"
"Ritzmann","181"
"Hofman","217"
"Schlumberger","200"
"Terkki","196"
"Hempstead","179"
"Pezzoli","178"
"Chinin","222"
"Ramsey","201"
"Lukaszewicz","190"
"Usery","207"
"Bisiani","189"
"Pavlopoulou","203"
"Pillow","188"
"Kinley","189"
"Einsfeld","210"
"Douceur","188"
"Syrotiuk","187"
"McDermid","203"
"Vingron","209"
"Horswill","205"
"Munch","207"
"Munos","196"
"Rajala","219"
"Olano","196"
"Krzyzanowski","208"
"Delgrange","200"
"Griswold","195"
"Levasseur","201"
"Schusler","232"
"Picco","221"
"Kitai","204"
"Pauthner","193"
"Cairo","195"
"Carrera","166"
"Keohane","205"
"Eppinger","183"
"Trelles","205"
"Suomi","208"
"Rousseau","209"
"Soloway","180"
"Anick","208"
"Reinhard","191"
"Ramalingam","179"
"Birch","200"
"Beidas","186"
"Kaiserswerth","190"
"Pusterhofer","212"
"Jakobus","218"
"Leuchs","214"
"Trystram","209"
"Gomatam","216"
"Munck","195"
"Ratzlaff","201"
"Esposito","202"
"Edelhoff","194"
"Talmor","204"
"Tokunaga","193"
"Radivojevic","222"
"Ranta","226"
"Bresenham","182"
"Leslie","216"
"Gladwell","192"
"Thorensen","197"
"Salinas","209"
"Seiwald","176"
"Pelz","217"
"Gulak","206"
"Setia","224"
"Kading","175"
"Rajcani","239"
"Glowinski","192"
"Ranka","194"
"Leppanen","175"
"Gecsei","229"
"Norsworthy","228"
"Mungall","187"
"Hitomi","221"
"Fioravanti","201"
"Hebden","196"
"Skafidas","226"
"Bernatsky","213"
"Varley","206"
"Busillo","200"
"Hooghiemstra","204"
"Vickson","206"
"Gopalakrishnan","192"
"Maksimenko","247"
"Laurillard","201"
"Ranze","190"
"Roccetti","201"
"Buescher","200"
"Pietracaprina","190"
"Collette","236"
"Zolotykh","204"
"Hennebert","175"
"Merle","183"
"Camarinopoulos","221"
"Thummel","224"
"Tyugu","207"
"Felcyn","202"
"Aloisi","182"
"Serre","229"
"Pappas","184"
"Segond","213"
"Pardalos","198"
"Middleton","206"
"Francisci","206"
"Leaver","207"
"Dalton","180"
"Morris","189"
"Zucker","199"
"Bhattacharjee","228"
"Unni","184"
"Moffat","205"
"Krone","196"
"Azadmanesh","197"
"Tagansky","214"
"Taubman","234"
"Ibel","206"
"Rahier","201"
"Denos","193"
"Tasistro","190"
"Laventhal","207"
"Kavanagh","228"
"Ciolek","221"
"Waymire","207"
"Litzkow","179"
"Vilarrasa","205"
"Pluym","175"
"Vidya","195"
"Wegerle","210"
"Muhlberg","203"
"Danner","194"
"Oppitz","222"
"Kolvik","190"
"Merro","160"
"Stiles","175"
"Heuser","220"
"Greenaway","177"
"England","206"
"Streng","208"
"Bakhtari","200"
"Khalid","206"
"Cummings","239"
"Luce","228"
"Androutsos","187"
"Vieth","170"
"Lueh","188"
"Chenoweth","195"
"Clouatre","224"
"Peyn","209"
"Percebois","197"
"Ducloy","209"
"Varker","191"
"Garrabrants","228"
"Iisaka","194"
"Sanella","188"
"Schwaller","222"
"Glinert","185"
"Loncour","199"
"Binding","203"
"Stavenow","200"
"Schonegge","195"
"Berendt","207"
"Jarecki","191"
"Chaudhuri","201"
"Erdmenger","217"
"Rindone","209"
"Mitina","202"
"Simmel","188"
"Perko","186"
"Alvarado","194"
"Range","195"
"Pashtan","222"
"Matheson","220"
"Weiland","207"
"Seghrouchni","213"
"Piancastelli","184"
"Boissier","197"
"Koblitz","213"
"Baak","200"
"Muhling","208"
"Rajaraman","215"
"Marrevee","213"
"Cangellaris","242"
"Garigliano","203"
"Bondorf","226"
"Kornyak","227"
"Godskesen","207"
"Gien","199"
"Melski","215"
"Roison","189"
"Fairtlough","212"
"Baca","196"
"Vigier","221"
"Broomell","200"
"Gornas","216"
"Peha","197"
"Kuszyk","216"
"Mateescu","186"
"Schaaf","232"
"Spieker","203"
"Mayerwieser","208"
"Zweizig","199"
"Vendrig","195"
"Jiafu","185"
"Takanami","196"
"Waeselynck","206"
"Zeilberger","198"
"Panwar","201"
"Prampolini","171"
"Nishimukai","216"
"Danley","210"
"Vecchio","207"
"Litecky","200"
"Constantine","216"
"Beerel","195"
"Akaboshi","219"
"Speer","202"
"Bierbaum","181"
"Kieras","195"
"Miara","213"
"Impagliazzo","208"
"Hinsberger","207"
"Jahnichen","210"
"Toyoshima","203"
"Hanratty","205"
"Dichev","198"
"Baja","194"
"Ratnakar","204"
"Decleir","208"
"Montemayor","198"
"Giarratana","172"
"Neimat","217"
"Poulakidas","209"
"Zambonelli","163"
"Conry","181"
"Akiyama","187"
"Armand","196"
"Luft","220"
"Sridhar","217"
"Aumann","171"
"Milicia","199"
"Lagarias","192"
"Luders","221"
"Fadgyas","201"
"Rusterholz","216"
"Christianini","204"
"Crouzet","207"
"Lanzelotte","206"
"Arlazarov","176"
"Nyrup","192"
"Woycyznski","204"
"Winter","200"
"Hiyoshi","221"
"Bael","202"
"Capobianchi","196"
"Pfau","227"
"Kilgour","220"
"Copas","184"
"Fraisse","202"
"Thambidurai","188"
"Wilharm","179"
"Nooteboom","203"
"Lorho","228"
"Picht","208"
"Dehkordi","199"
"Demri","204"
"Ghelli","217"
"Basawa","199"
"Lorch","203"
"Majewski","215"
"Babb","186"
"Michaeli","214"
"Ecklund","220"
"Plumb","179"
"Erde","197"
"Cooke","220"
"Brodie","222"
"Chimia","233"
"Jording","200"
"Kusakari","204"
"Carrere","226"
"Hasham","211"
"Desikan","225"
"Negoita","199"
"Stafford","187"
"Chorvat","204"
"Rikino","225"
"Weedman","211"
"Braunschweig","206"
"Maquelin","207"
"Casperson","186"
"Gadepally","195"
"Schicker","195"
"Hopewell","164"
"Sudbeck","244"
"Feldhoffer","200"
"Simmen","211"
"Cardazo","204"
"Peng","204"
"Gihr","217"
"Luit","201"
"Nicolson","188"
"Schauser","186"
"Sinicrope","194"
"Reghbati","203"
"Tischendorf","192"
"Frezza","195"
"Rehfuss","185"
"Verspoor","198"
"Trumbly","200"
"Karner","213"
"Seuren","201"
"Furudate","203"
"Underwood","209"
"Rullman","193"
"Siepmann","238"
"Peot","195"
"Georg","193"
"Haumacher","216"
"Bratten","207"
"Chiodo","194"
"Conte","206"
"Murrill","176"
"Lung","194"
"Remmers","211"
"Joslin","211"
"Riesenhuber","216"
"Huhdanpaa","181"
"Swiss","202"
"Anido","190"
"Ghemri","232"
"Rosenbaum","218"
"Erni","183"
"Kranzdorf","206"
"Ouhyoung","214"
"Makrucki","209"
"Wossner","210"
"Borstler","215"
"Ramras","173"
"Engberts","215"
"Huttel","202"
"Eugenio","211"
"Budinsky","204"
"Orsini","208"
"Bolsens","231"
"Barreiro","193"
"Businaro","200"
"Engelmann","193"
"Broder","197"
"Henseler","184"
"Neiman","238"
"Gargeya","208"
"Kawashima","226"
"Denna","205"
"Asser","229"
"Hellwagner","207"
"Nitsch","188"
"Teitelbaum","178"
"Angel","199"
"Serov","179"
"Bale","201"
"Molenaar","198"
"Noriega","219"
"Alblas","213"
"Benzmuller","206"
"Ananiadou","174"
"Lores","189"
"Qiwen","182"
"Peak","207"
"Baek","213"
"Emiris","211"
"Kornatzky","206"
"Hoppenstand","230"
"Iwayama","215"
"Szemeredi","201"
"Montresor","181"
"Peres","200"
"Botman","196"
"Macedo","188"
"Ishibashi","226"
"Lowrie","227"
"Trachtenberg","210"
"Aamodt","227"
"Bennet","232"
"Orlowski","195"
"Portugali","189"
"Magalhaes","191"
"Koblick","203"
"Gist","216"
"Sundgren","213"
"Callaway","215"
"Sichman","223"
"Fortenbacher","225"
"Himler","180"
"Setiz","186"
"Talmon","200"
"Luiz","187"
"Khalil","217"
"Sessa","185"
"Penn","189"
"Templeman","200"
"Fujisaki","217"
"Dengi","197"
"Ravishankar","173"
"Zwicker","191"
"Uludag","199"
"Jiang","218"
"Gubsky","187"
"Ritcey","175"
"Schrift","172"
"Shinomoto","193"
"Lalonde","218"
"Swist","199"
"Brizzi","183"
"Liesche","213"
"Nourani","195"
"Conia","223"
"Rubsam","189"
"Debuse","192"
"Sabnani","170"
"Takkinen","204"
"Pintelas","195"
"Keustermans","214"
"Pesch","179"
"Angiulli","191"
"Gunderson","199"
"Strooper","198"
"Hoogerwoord","208"
"Bouloucos","216"
"Muchinsky","215"
"Chachaty","206"
"Vanwelkenhuysen","209"
"Staylopatis","219"
"Kirkerud","230"
"Morrey","230"
"Foolsday","1"
"Zizka","191"
"Dalphin","222"
"Rothenberg","209"
"Bratsberg","188"
"Kroft","204"
"Dolinsky","188"
"Suppi","208"
"Sevcikova","182"
"Baranowski","176"
"Sommer","203"
"Heiserman","203"
"Scallan","237"
"Schmiedel","219"
"Smailagic","212"
"Asrin","204"
"Marchesini","197"
"Stanfel","218"
"Gronowski","224"
"Walstra","205"
"Taubenfeld","222"
"Biron","194"
"Peac","200"
"Herath","191"
"Ranft","209"
"Candan","208"
"Radhakrishnan","206"
"Parfitt","206"
"Serna","213"
"Delaune","182"
"Gyimothy","211"
"Kermarrec","192"
"Riefers","203"
"Fiebach","207"
"Zykh","160"
"Lindqvist","205"
"Litzler","187"
"Ulupinar","199"
"Denny","191"
"Zaumen","226"
"Pramanik","232"
"Nations","186"
"Bugaenko","184"
"Cesareni","227"
"Siprelle","224"
"Besselaar","206"
"Karlin","185"
"Luck","198"
"Luby","206"
"Luef","184"
"Lorie","173"
"Hardjono","214"
"Hainaut","194"
"Sadowsky","155"
"Puppo","204"
"Dulin","216"
"Koyama","196"
"Bazelow","194"
"Bressoud","213"
"Zultner","196"
"Casley","199"
"Redmiles","237"
"Brookman","184"
"Perz","193"
"Yurov","199"
"Standera","176"
"Barinka","176"
"Selenyi","192"
"Thisen","182"
"Kobuchi","197"
"Byoun","218"
"Deverell","195"
"Sankaranarayanan","204"
"Waschkowski","205"
"Masand","214"
"Taneja","226"
"Junet","218"
"Porotnikoff","179"
"Lemarechal","176"
"Schmittgen","197"
"Christ","213"
"Ratnaker","200"
"Bojadziev","209"
"Eickenmeyer","216"
"Zobel","184"
"Alpin","222"
"Basart","184"
"Stasinski","203"
"Escriba","203"
"Gammage","215"
"Porenta","192"
"Kilgore","206"
"Naumovich","195"
"Validov","189"
"Klassen","205"
"Bail","200"
"Schiettecatte","206"
"Jullig","209"
"Sifakis","217"
"Vural","199"
"Szmurlo","206"
"Demos","203"
"Gide","195"
"Wixon","188"
"Pietrzykowski","212"
"Zhang","173"
"Tramer","226"
"Sudkamp","208"
"Bernini","194"
"Ellozy","205"
"Cochrane","201"
"Rande","192"
"Gill","205"
"Lamparter","225"
"Duclos","229"
"Pena","192"
"Eterovic","192"
"Siegrist","210"
"Conde","205"
"Cunliffe","196"
"Nitta","200"
"Heydon","188"
"Pepe","195"
"Schlegelmilch","232"
"Ranum","221"
"Danecki","208"
"Benaini","177"
"Birsak","209"
"Geffroy","227"
"McFarlan","190"
"Katiyar","217"
"Przulj","210"
"Unno","216"
"Bultermann","210"
"Brender","213"
"Pollacia","209"
"Jansen","210"
"Merey","218"
"Mullainathan","197"
"Marshall","214"
"Melichar","214"
"Gimbel","222"
"Birnbaum","206"
"Swen","230"
"Aseltine","194"
"Kropf","184"
"Daescu","220"
"Mawatari","217"
"Cusworth","189"
"Limongiello","187"
"Zuberek","239"
"Lichtman","201"
"Pollock","203"
"Isaak","193"
"Dechter","168"
"Snyers","201"
"Rodham","212"
"Kamble","214"
"Fritzsche","192"
"Molberg","202"
"Zaiane","193"
"Munro","177"
"Peris","195"
"Homond","181"
"Scharstein","212"
"Schneeberger","208"
"Vesel","207"
"Roisin","207"
"Vieri","193"
"Mandelberg","175"
"Parascandalo","205"
"Passafiume","196"
"Polajnar","186"
"Hashii","183"
"Perelgut","184"
"Hatcliff","200"
"Frolund","212"
"Nittel","180"
"Fontet","189"
"Plesums","210"
"Rassart","217"
"Reutenauer","205"
"Atchley","197"
"Vidal","201"
"Vuskovic","210"
"Boudaillier","240"
"Castellani","192"
"Bahl","222"
"Szilard","211"
"Yoshimura","189"
"Diderrich","213"
"Gelosh","246"
"Goodrum","210"
"Chandrasekhar","203"
"Flasterstein","201"
"Gulik","218"
"Wallrath","187"
"Stentiford","213"
"Chinen","194"
"Egerstedt","194"
"Poujol","201"
"Matzat","198"
"Baar","205"
"Versino","209"
"Kroha","181"
"Cmelik","201"
"Kuhnemann","211"
"Ramaiah","211"
"Kavvadias","208"
"Salverda","206"
"Schapiro","201"
"Suessmith","171"
"Swan","224"
"Passino","202"
